SU9s2A2F16nf0,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU6s1a1A2F8nf1,0.9767777777777777,0.9854444444444443,0.9710000000000001,0.9590000000000001,0.9271111111111112,0.8212222222222221,0.0,0.0

SU6s1a1A2F8nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.9963333333333334,0.9597777777777778,0.9735555555555555,0.9287777777777779,0.8439999999999999,0.9767777777777777,0.0
SU2nf4,0.9963333333333334,0.0,0.9888888888888888,0.9725555555555553,0.9352222222222224,0.7819999999999999,0.9854444444444443,0.0
SU10s2A2F16nf1,0.9597777777777778,0.9888888888888888,0.0,0.9688888888888889,0.9195555555555557,0.8145555555555555,0.9710000000000001,0.0
SU4a3A3nf1,0.9735555555555555,0.9725555555555553,0.9688888888888889,0.0,0.9408888888888889,0.901888888888889,0.9590000000000001,0.0
SU5s1a1A2F8nf0,0.9287777777777779,0.9352222222222224,0.9195555555555557,0.9408888888888889,0.0,0.8304444444444443,0.9271111111111112,0.0
SU5s1a1A2F8nf1,0.8439999999999999,0.7819999999999999,0.8145555555555555,0.901888888888889,0.8304444444444443,0.0,0.8212222222222221,0.0
SU5s1S1a1A1nf1,0.9767777777777777,0.9854444444444443,0.9710000000000001,0.9590000000000001,0.9271111111111112,0.8212222222222221,0.0,0.0
SU6s1a1A2F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

