Sp2s1a2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
SU4adj2a1A1nf1,0.04765164228382564,0.07359121324361127,0.10552771562690105,0.05124668010927364,0.0,0.06984992731334094,0.06767396421149544,0.06706593402147501,0.0

Sp2s1a1nf2,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.07200822998230956,0.045357836515130805,0.060502117093862974,0.05666056612041941,0.0,0.06852448422477622,0.06035532646004631,0.06066758241067099
SU8s1S2a1f8nf1,0.07200822998230956,0.0,0.10432315652650814,0.15738511388970072,0.11020883655279638,0.0,0.07272271029460187,0.09041884704658962,0.07612732998319573
Sp2adj1a2nf4,0.045357836515130805,0.10432315652650814,0.0,0.067058478257211,0.0705274659745416,0.0,0.07335193366803296,0.07806494605435359,0.10144395764760894
Sp2s2a1nf1,0.060502117093862974,0.15738511388970072,0.067058478257211,0.0,0.07510691967266432,0.0,0.060698099305161596,0.06019761694967461,0.042714094010765265
SU5s1S1a1A1nf1,0.05666056612041941,0.11020883655279638,0.0705274659745416,0.07510691967266432,0.0,0.0,0.0907802257251878,0.06836394978078454,0.06984992731334094
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.06852448422477622,0.07272271029460187,0.07335193366803296,0.060698099305161596,0.0907802257251878,0.0,0.0,0.07932127203676745,0.060333333333333336
SU3adj1nf2,0.06035532646004631,0.09041884704658962,0.07806494605435359,0.06019761694967461,0.06836394978078454,0.0,0.07932127203676745,0.0,0.06237293255931922
SU4adj2a1A1nf1,0.06066758241067099,0.07612732998319573,0.10144395764760894,0.042714094010765265,0.06984992731334094,0.0,0.060333333333333336,0.06237293255931922,0.0

SU5adj1s1A1F8nf0,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.05617916664949828,0.05230784942158405,0.07222435894275116,0.07721390842536717,0.06852448422477622,0.0,0.10350857303314555,0.07208611105759144
SU8s1S2a1f8nf1,0.05617916664949828,0.0,0.072825599216447,0.06431557997220032,0.07260037751151723,0.07272271029460187,0.0,0.15772882652213382,0.059599071995426654
Sp2adj1a2nf4,0.05230784942158405,0.072825599216447,0.0,0.043478531668507195,0.07046582220314634,0.07335193366803296,0.0,0.12487173666320153,0.06154552665996004
Sp2s2a1nf1,0.07222435894275116,0.06431557997220032,0.043478531668507195,0.0,0.0899536917900909,0.060698099305161596,0.0,0.07192211150582824,0.0681266975097153
SU5s1S1a1A1nf1,0.07721390842536717,0.07260037751151723,0.07046582220314634,0.0899536917900909,0.0,0.0907802257251878,0.0,0.09053510334821298,0.06767396421149544
Sp2s1a1nf2,0.06852448422477622,0.07272271029460187,0.07335193366803296,0.060698099305161596,0.0907802257251878,0.0,0.0,0.07932127203676745,0.060333333333333336
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf2,0.10350857303314555,0.15772882652213382,0.12487173666320153,0.07192211150582824,0.09053510334821298,0.07932127203676745,0.0,0.0,0.04556652984346415
SU4adj2a1A1nf1,0.07208611105759144,0.059599071995426654,0.06154552665996004,0.0681266975097153,0.06767396421149544,0.060333333333333336,0.0,0.04556652984346415,0.0

SU3adj1nf2,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.09300205759040701,0.07931808132255443,0.06638310063097924,0.06296736368063134,0.06035532646004631,0.10350857303314555,0.0,0.04500329206065148
