Theories,SU2nf4,SU9s2A2F16nf0,Sp2s1a2nf0,SU10s2A2F16nf1,Sp2s2a1nf1,Sp2s1a2nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,SU7a2A2nf1,SU5s1S1a2A2nf1,SU4a3A3nf1,Sp2adj1nf1,SO5nf5,SO5adj1nf2,SU2adj1nf3,SU2adj1nf2,SU2adj2nf1,SU4s1S1a2A2nf1,SU5a3A3nf0,SU7s1S2a1f8nf0,SU3nf6,SU3adj1nf4,SU5adj1s1A1F8nf0,SU6adj1s1A1F8nf1,SU5adj1a2A2nf1,SU3adj2nf2,Sp2adj2nf2,Sp4a3nf0,SO12s2nf1,Sp5a3nf1,SU6s2S2nf1,Sp3a3nf1,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,Sp4s1a1nf1,SU3adj1nf2,SU4adj2a1A1nf0,Sp2s2nf1,SU4adj1a2A2nf1,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5s1S1a2A2nf1,0.0,0.0,0.004166666666666652,0.002499999999999991,0.004082482904638615,0.004082482904638615,0.013540064007726595,0.014457792977414554,0.012499999999999995,0.026627575514450746,0.0,0.016007810593582132,0.012499999999999995,0.012499999999999995,0.01190238071423808,0.014166666666666685,0.014907119849998613,0.012047360245667467,0.032446537223219635,0.013017082793177757,0.07446102634562891,0.012499999999999995,0.012499999999999995,0.011931517552730298,0.04601479230759507,0.012499999999999995,0.01795054935711501,0.06146927868636676,0.012499999999999995,0.0210818510677892,0.012499999999999995,0.026470633623780986,0.012499999999999995,0.012499999999999995,0.019382838916021675,0.02814890959009088,0.012499999999999995,0.011055415967851341,0.012499999999999995,0.01726026264767332,0.012499999999999995,0.012499999999999995,0.02273030282830976,0.03617089069035118
SU4a3A3nf1,0.0,0.0,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.0,0.016583123951776992,0.01755942292142123,0.023935677693908447,0.02409472049133492,0.016007810593582132,0.0,0.03452052529534662,0.05492419017761361,0.0331767153956573,0.03068658773253661,0.025603819159562023,0.059541068926320814,0.04213074886588179,0.035355339059327376,0.021408720964441887,0.11897712198383163,0.029297326385411583,0.08295330011518531,0.03206980234148975,0.09661277233253261,0.03783186487605388,0.019382838916021664,0.05515130702591432,0.05790917217697229,0.020429417786885434,0.03863108995499751,0.02808716591058787,0.07139969654463993,0.08301606270274847,0.06932211447695141,0.041373971957688035,0.030103986446980743,0.08916666666666667,0.07053860251269828,0.04859841103941112,0.08773777217747591,0.02297341458681705,0.06213783960769083
Sp2adj1nf1,0.0,0.0,0.0065085413965888924,0.002499999999999991,0.010408329997330674,0.00816496580927727,0.0055901699437494795,0.012047360245667467,0.024166666666666677,0.024094720491334928,0.012499999999999995,0.03452052529534662,0.0,0.08274794391537606,0.02738612787525829,0.06403124237432849,0.029297326385411587,0.08996913050843855,0.024565671621639466,0.0497842567708128,0.021666666666666667,0.016007810593582122,0.030968173626770065,0.02048034287907419,0.05528336096873995,0.013017082793177754,0.03023059524536176,0.026874192494328493,0.07785759793080928,0.06282692274990256,0.06106121700574122,0.08253366316573835,0.034970225430595483,0.05775907817054487,0.05013869652163774,0.06545248488619647,0.07586995452746759,0.048052344144461655,0.071956777149743,0.0896908269804914,0.08408411793489239,0.05286250509051235,0.08984554647962369,0.10705657901834484
SO5nf5,0.002499999999999991,0.0,0.01818118685772619,0.002499999999999991,0.009718253158075516,0.007861650943380514,0.004166666666666652,0.012909944487358055,0.03287180487219337,0.02387758130315733,0.012499999999999995,0.05492419017761361,0.08274794391537606,0.0,0.07764323680928188,0.03916666666666666,0.04073116469949978,0.03313482558678506,0.023863035105460596,0.056789083458002716,0.022422706745122846,0.09761389359216353,0.032702361450580975,0.01972026594366538,0.03292457710856402,0.0720532210707243,0.014648663192705797,0.02863806712906596,0.10132798779760266,0.0745775137394346,0.07483778754375654,0.07959969290839702,0.05116015159390276,0.062383224240709675,0.0348010216963685,0.07141428428542851,0.09389710680668849,0.12250000000000001,0.07291547618075785,0.0509697622779101,0.09428458693409719,0.16422376333662692,0.08718196169188006,0.08226397213307361
SO5adj1nf2,0.002499999999999991,0.0,0.02212653007891958,0.002499999999999991,0.006666666666666682,0.008374896350934085,0.01000000000000001,0.01493039405597409,0.02886751345948127,0.025055493963954838,0.01190238071423808,0.0331767153956573,0.02738612787525829,0.07764323680928188,0.0,0.018427786989579982,0.016687486995417337,0.10343073366590158,0.021554195260629266,0.09877373132569206,0.025940637360455626,0.020155644370746368,0.03675179511866659,0.01943650631615101,0.05423713365090993,0.03010398644698073,0.021794494717703342,0.023213980461973514,0.048591265790377515,0.05218157401484424,0.04107073843450535,0.08969469822062444,0.04844813951249545,0.0541410195692693,0.05312459150169742,0.023804761428476155,0.017658016750347578,0.0396512575112344,0.052579305181157866,0.059976847384821924,0.06315765107165472,0.057427490513400174,0.09552486587271398,0.05191472709057508
SU2adj1nf3,0.0,0.0,0.0038188130791298527,0.002499999999999991,0.008700255424092142,0.0033333333333333214,0.010172129679778086,0.025344843876242577,0.08349983366583566,0.0225,0.014166666666666685,0.03068658773253661,0.06403124237432849,0.03916666666666666,0.018427786989579982,0.0,0.03056186803482042,0.09728609013283109,0.03379883298445542,0.04890466917040404,0.023935677693908444,0.10334677331951665,0.046315644105300854,0.05406400527769532,0.07411046559772182,0.08003471469028647,0.04552929459882579,0.048769582961331784,0.09265002848233657,0.05809475019311125,0.032015621187164243,0.07659870175865327,0.09590214920543869,0.07666666666666666,0.03804237403504443,0.044009153088369654,0.10077477638553982,0.057469798831888894,0.07414325473178408,0.05771096564393595,0.09757119907477253,0.08081185281600438,0.017078251276599333,0.027888667551135834
SU2adj1nf2,0.0,0.0,0.0075000000000000015,0.002499999999999991,0.007637626158259735,0.005527707983925673,0.0058333333333333475,0.014337208778404371,0.02561737691489897,0.022973414586817033,0.014907119849998613,0.025603819159562023,0.029297326385411587,0.04073116469949978,0.016687486995417337,0.03056186803482042,0.0,0.06934715407122184,0.01224744871391588,0.03711842908553348,0.021229565338094995,0.018708286933869687,0.036026610535362144,0.02266911751455907,0.05715476066494083,0.033839900840411594,0.02714416245817054,0.025563102750296617,0.08259674462242576,0.05652555960703874,0.07163274390947202,0.0660387091871965,0.022730302828309745,0.030057814661452378,0.04699290726623893,0.026352313834736484,0.03477107674170842,0.04525391327461822,0.04102844541697057,0.07168604389202188,0.0816879224039066,0.06883958809354461,0.09185208519982307,0.05191472709057508
SU2adj2nf1,0.0,0.0,0.030103986446980723,0.004166666666666652,0.027182510717166822,0.01842778698957998,0.010671873729054742,0.018427786989579968,0.05835713800003866,0.04117206442345208,0.012047360245667467,0.059541068926320814,0.08996913050843855,0.03313482558678506,0.10343073366590158,0.09728609013283109,0.06934715407122184,0.0,0.031135902820449014,0.07333333333333335,0.021666666666666674,0.03641008712492246,0.057879184513951125,0.08488554385497897,0.04790760783934936,0.14288690166235204,0.09089065469623987,0.054524459343185304,0.13432961119739925,0.06274396828027025,0.07253351715662981,0.10762589527308628,0.09236100668331608,0.05325515102890151,0.043212973874880586,0.06446359868604569,0.06325104303048641,0.08867857062948686,0.05944768942337269,0.06835873511605278,0.09094030398502573,0.11329962734076202,0.02174664725116648,0.10348443253831843
SU4s1S1a2A2nf1,0.005000000000000016,0.005000000000000016,0.012610621625351301,0.002499999999999991,0.011902380714238091,0.007861650943380526,0.014337208778404373,0.02187400791401114,0.020816659994661313,0.0302765035409749,0.032446537223219635,0.04213074886588179,0.024565671621639466,0.023863035105460596,0.021554195260629266,0.03379883298445542,0.01224744871391588,0.031135902820449014,0.0,0.020749832663314576,0.05044248650140518,0.03287180487219338,0.023213980461973552,0.0282474187611305,0.025887040945015104,0.030743111242827862,0.08083333333333334,0.051800900893066826,0.03416666666666668,0.031446603773522014,0.023570226039551587,0.02682246156571849,0.022730302828309762,0.03296673407475415,0.026614532371118858,0.027638539919628332,0.022422706745122856,0.03912231531435168,0.02824741876113049,0.04166666666666669,0.019790570145063198,0.02763853991962833,0.030550504633038936,0.021794494717703353
SU5a3A3nf0,0.0,0.0,0.006666666666666687,0.005527707983925673,0.007637626158259738,0.0065085413965888924,0.041508031351374236,0.01804700652308976,0.027500000000000004,0.02393567769390845,0.013017082793177757,0.035355339059327376,0.0497842567708128,0.056789083458002716,0.09877373132569206,0.04890466917040404,0.03711842908553348,0.07333333333333335,0.020749832663314576,0.0,0.02364376826518517,0.12103718436910205,0.11440971695329609,0.11091788754649891,0.029450995078453838,0.10030855175684451,0.025940637360455626,0.018276426832884406,0.09121098861674751,0.04915960401250875,0.05030462757595525,0.0759431439374952,0.1378933766840646,0.06121455890735654,0.04879805323985786,0.12327983073750005,0.08645808232895293,0.08306623862918074,0.10036046144883065,0.07199537022151722,0.06856161057358881,0.07826237921249266,0.037868559225005885,0.07211584045439978
