Theories,SU9s2A2F16nf0,SU10s2A2F16nf1,SU2nf4,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SU4s1S1a2A2nf1,SU3nf6,SU5s1S1a2A2nf1,SO5nf5,SU2adj1nf3,SU7s1S2a1f8nf0,SU5a3A3nf0,Sp2adj1nf1,SU2adj2nf1,SU2adj1nf2,SO5adj1nf2,Sp2s1a2nf0,Sp3a3nf1,SO12s2nf1,SU3adj2nf2,SU6adj1s1A1F8nf1,SU7a2A2nf1,Sp2adj2nf2,Sp2s1a2nf1,Sp4a3nf0,Sp2adj1a2nf4,SU8s1S2a1f8nf1,SU6s2S2nf1,Sp2s2nf1,SU5adj1a2A2nf1,Sp2s1a1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf0,SU5adj1s1A1F8nf0,Sp2s2a1nf1,SU3adj1nf2,SU4adj1a2A2nf1,Sp4s1a1nf1,SU3adj1nf3,SU4adj2a1A1nf1
SO5nf5,1.0,1.0,1.0,0.9908333333333333,0.9924999999999999,0.8591666666666666,0.985,0.9525,0.99,0.9041666666666666,0.0,0.9524999999999999,0.9425000000000001,0.8816666666666666,0.7208333333333333,0.7708333333333334,0.7491666666666666,0.7333333333333333,0.7516666666666667,0.8366666666666666,0.8800000000000001,0.8966666666666667,0.9216666666666666,0.9324999999999999,0.8758333333333332,0.8491666666666665,0.8841666666666665,0.9875,0.9508333333333333,0.775,0.7575,0.8800000000000001,0.8383333333333333,0.7841666666666667,0.645,0.945,0.8525,0.6975,0.7933333333333333,0.705,0.8525,0.7575000000000001
SU2adj1nf3,1.0,1.0,1.0,0.9899999999999999,0.9924999999999999,0.9608333333333332,0.9650000000000001,0.86,0.9974999999999999,0.8991666666666667,0.9524999999999999,0.0,0.8241666666666667,0.9658333333333333,0.9308333333333335,0.8583333333333334,0.9208333333333334,0.9266666666666665,0.9158333333333333,0.9558333333333333,0.8425,0.5783333333333334,0.725,0.7424999999999999,0.7258333333333333,0.9116666666666667,0.8583333333333334,0.8141666666666667,0.885,0.85,0.8616666666666667,0.735,0.8941666666666667,0.8683333333333334,0.825,0.6691666666666667,0.5508333333333334,0.8308333333333333,0.8724999999999999,0.8233333333333335,0.8174999999999999,0.5824999999999999
SU7s1S2a1f8nf0,0.9283333333333333,0.8483333333333333,0.9275,0.8724999999999999,0.825,0.9666666666666666,0.8200000000000001,0.8916666666666666,0.7116666666666666,0.9324999999999999,0.9425000000000001,0.8241666666666667,0.0,0.9141666666666668,0.9324999999999999,0.8291666666666666,0.9324999999999999,0.9225000000000001,0.9183333333333333,0.8266666666666668,0.875,0.8241666666666667,0.6625000000000001,0.8108333333333333,0.7958333333333334,0.9158333333333333,0.8699999999999999,0.7733333333333333,0.595,0.865,0.8791666666666668,0.8225,0.8733333333333333,0.8558333333333333,0.8424999999999999,0.7358333333333335,0.825,0.9233333333333335,0.8574999999999999,0.8908333333333334,0.8183333333333334,0.8133333333333332
SU5a3A3nf0,1.0,0.9783333333333333,0.9883333333333333,0.9650000000000001,0.9774999999999998,0.82,0.9391666666666666,0.9441666666666666,0.9416666666666668,0.8958333333333334,0.8816666666666666,0.9658333333333333,0.9141666666666668,0.0,0.9549999999999998,0.9058333333333334,0.8975,0.9325000000000001,0.9191666666666667,0.6675000000000001,0.8583333333333334,0.8891666666666668,0.8400000000000001,0.8683333333333334,0.8258333333333334,0.8099999999999999,0.6208333333333333,0.8441666666666666,0.8833333333333334,0.8266666666666665,0.6625,0.675,0.8158333333333333,0.775,0.8008333333333333,0.795,0.835,0.7433333333333334,0.6875,0.7899999999999998,0.7716666666666667,0.7733333333333333
Sp2adj1nf1,1.0,1.0,1.0,0.9891666666666665,0.9916666666666666,0.9816666666666667,0.9925,0.9424999999999999,0.9925,0.9041666666666666,0.7208333333333333,0.9308333333333335,0.9324999999999999,0.9549999999999998,0.0,0.7083333333333334,0.615,0.5675,0.5733333333333335,0.9283333333333333,0.8516666666666668,0.8658333333333333,0.9633333333333333,0.9841666666666665,0.8675,0.7216666666666668,0.9099999999999999,0.9908333333333333,0.9566666666666667,0.7216666666666667,0.615,0.8574999999999999,0.7975,0.6866666666666668,0.5933333333333333,0.9658333333333333,0.8108333333333334,0.6858333333333333,0.7741666666666667,0.7266666666666667,0.7916666666666667,0.7408333333333333
SU2adj2nf1,1.0,0.9958333333333333,1.0,0.9883333333333333,0.9916666666666666,0.9574999999999999,0.9774999999999998,0.9225,0.9541666666666666,0.8966666666666665,0.7708333333333334,0.8583333333333334,0.8291666666666666,0.9058333333333334,0.7083333333333334,0.0,0.7633333333333333,0.7491666666666665,0.7274999999999999,0.7516666666666666,0.845,0.7275,0.8816666666666666,0.9133333333333333,0.8225,0.8366666666666667,0.8758333333333332,0.9033333333333333,0.8774999999999998,0.7474999999999999,0.6100000000000001,0.715,0.8466666666666667,0.7133333333333334,0.6416666666666666,0.905,0.5766666666666667,0.725,0.785,0.7383333333333334,0.8141666666666666,0.6233333333333333
SU2adj1nf2,1.0,0.9974999999999999,0.9891666666666667,0.9891666666666665,0.9908333333333333,0.9658333333333333,0.9841666666666666,0.945,0.9775,0.8991666666666666,0.7491666666666666,0.9208333333333334,0.9324999999999999,0.8975,0.615,0.7633333333333333,0.0,0.5983333333333334,0.5800000000000001,0.9166666666666666,0.8491666666666667,0.8533333333333333,0.9091666666666667,0.9108333333333333,0.8458333333333332,0.7525,0.8175000000000001,0.9141666666666668,0.9408333333333333,0.7683333333333333,0.6633333333333333,0.775,0.6775,0.7266666666666667,0.5883333333333333,0.9275,0.8066666666666669,0.6275000000000001,0.7283333333333334,0.6116666666666667,0.6966666666666667,0.7308333333333333
SO5adj1nf2,1.0,1.0,1.0,0.9891666666666665,0.9908333333333333,0.9541666666666666,0.9833333333333334,0.925,0.9925,0.9,0.7333333333333333,0.9266666666666665,0.9225000000000001,0.9325000000000001,0.5675,0.7491666666666665,0.5983333333333334,0.0,0.5275000000000001,0.9258333333333333,0.8416666666666666,0.8474999999999999,0.9408333333333332,0.9775,0.8324999999999999,0.7983333333333335,0.7358333333333333,0.99,0.9391666666666666,0.7241666666666666,0.6141666666666667,0.8358333333333334,0.7983333333333333,0.6808333333333334,0.5616666666666668,0.9366666666666665,0.7808333333333335,0.5866666666666667,0.7374999999999999,0.6225,0.715,0.695
Sp2s1a2nf0,1.0,0.9991666666666668,1.0,0.9883333333333331,0.99,0.9558333333333332,0.9816666666666667,0.9325000000000001,0.9916666666666668,0.8991666666666666,0.7516666666666667,0.9158333333333333,0.9183333333333333,0.9191666666666667,0.5733333333333335,0.7274999999999999,0.5800000000000001,0.5275000000000001,0.0,0.8616666666666666,0.835,0.8441666666666666,0.9333333333333333,0.9766666666666668,0.8333333333333334,0.7766666666666666,0.7375,0.9916666666666668,0.9283333333333333,0.7166666666666667,0.5766666666666668,0.8191666666666666,0.7758333333333333,0.7158333333333334,0.5658333333333333,0.9350000000000002,0.7750000000000001,0.5850000000000001,0.7233333333333333,0.6383333333333333,0.6991666666666667,0.675
Sp3a3nf1,1.0,1.0,1.0,0.9883333333333333,0.9891666666666665,0.8483333333333333,0.9408333333333333,0.9516666666666665,0.9591666666666665,0.9033333333333333,0.8366666666666666,0.9558333333333333,0.8266666666666668,0.6675000000000001,0.9283333333333333,0.7516666666666666,0.9166666666666666,0.9258333333333333,0.8616666666666666,0.0,0.8724999999999999,0.8633333333333335,0.8183333333333334,0.7300000000000001,0.8208333333333334,0.8375,0.5800000000000001,0.7299999999999999,0.8491666666666667,0.8558333333333333,0.8241666666666667,0.6441666666666668,0.6900000000000001,0.7883333333333333,0.7366666666666666,0.6991666666666666,0.6825,0.6675,0.6333333333333334,0.5733333333333335,0.5408333333333333,0.7008333333333333
