Sp3a3nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
SU5s1S1a1A1nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.059607357239161655,0.07984212817866747,0.0,0.07113792897091963,0.06037179048545565,0.08890277669287784,0.07592304420908917,0.059314603785427265
SU5adj1s1A1F8nf0,0.059607357239161655,0.0,0.04464192238880289,0.0,0.08159944323218431,0.05152836926884231,0.09685014515881712,0.09639809434108432,0.04425013078030475
SU5adj1a2A2nf1,0.07984212817866747,0.04464192238880289,0.0,0.0,0.053013042886155694,0.0599510088054415,0.09528547102079267,0.0883456315687649,0.053189156975393836
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.07113792897091963,0.08159944323218431,0.053013042886155694,0.0,0.0,0.04855301290062641,0.035495783091572315,0.041042585532109134,0.040800024207206576
Sp2s1a1nf2,0.06037179048545565,0.05152836926884231,0.0599510088054415,0.0,0.04855301290062641,0.0,0.03419641884362156,0.06580226646252346,0.04130823610819482
SU8s1S2a1f8nf1,0.08890277669287784,0.09685014515881712,0.09528547102079267,0.0,0.035495783091572315,0.03419641884362156,0.0,0.03298428357510533,0.04677289496817257
SU4adj2a1A1nf1,0.07592304420908917,0.09639809434108432,0.0883456315687649,0.0,0.041042585532109134,0.06580226646252346,0.03298428357510533,0.0,0.05256682989241668
SU3adj1nf3,0.059314603785427265,0.04425013078030475,0.053189156975393836,0.0,0.040800024207206576,0.04130823610819482,0.04677289496817257,0.05256682989241668,0.0

Sp2adj1a2nf4,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.07395869718220358,0.06270487408940315,0.07113792897091963,0.0,0.043564766599729285,0.03676350847723263,0.06266321897529427,0.039723737344841754
SU5adj1s1A1F8nf0,0.07395869718220358,0.0,0.05953119319283768,0.08159944323218431,0.0,0.09470917146978865,0.035979417984710625,0.06311815297177113,0.07741383102887948
SU5adj1a2A2nf1,0.06270487408940315,0.05953119319283768,0.0,0.053013042886155694,0.0,0.05594044452212847,0.04683514560880035,0.06115109802876361,0.0503758711593331
SU5s1S1a1A1nf1,0.07113792897091963,0.08159944323218431,0.053013042886155694,0.0,0.0,0.04855301290062641,0.035495783091572315,0.041042585532109134,0.040800024207206576
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.043564766599729285,0.09470917146978865,0.05594044452212847,0.04855301290062641,0.0,0.0,0.03381138678822875,0.04033440463835885,0.04233916553584406
SU8s1S2a1f8nf1,0.03676350847723263,0.035979417984710625,0.04683514560880035,0.035495783091572315,0.0,0.03381138678822875,0.0,0.044643443382394205,0.057276134258131946
SU4adj2a1A1nf1,0.06266321897529427,0.06311815297177113,0.06115109802876361,0.041042585532109134,0.0,0.04033440463835885,0.044643443382394205,0.0,0.07717424568812359
SU3adj1nf3,0.039723737344841754,0.07741383102887948,0.0503758711593331,0.040800024207206576,0.0,0.04233916553584406,0.057276134258131946,0.07717424568812359,0.0

