SU5adj1a2A2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU8s1S2a1f8nf1,0.6022222222222222,0.4647777777777778,0.6423333333333332,0.0,0.5963333333333334,0.5914444444444444,0.5591111111111111,0.0,0.5164444444444445
SU4adj2a1A1nf1,0.5333333333333333,0.4401111111111111,0.511888888888889,0.0,0.5593333333333333,0.5654444444444444,0.5048888888888888,0.5164444444444445,0.0

SU5s1S1a1A1nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.583,0.5026666666666667,0.5586666666666666,0.0,0.4616666666666667,0.47300000000000003,0.5381111111111111,0.4691111111111111
SU6s2S2nf1,0.583,0.0,0.5984444444444444,0.4786666666666667,0.0,0.5517777777777778,0.513,0.6414444444444445,0.5711111111111111
SU5adj1s1A1F8nf0,0.5026666666666667,0.5984444444444444,0.0,0.5732222222222222,0.0,0.46255555555555555,0.48744444444444446,0.5567777777777778,0.47611111111111115
SU3adj1nf2,0.5586666666666666,0.4786666666666667,0.5732222222222222,0.0,0.0,0.5296666666666667,0.4822222222222223,0.5963333333333334,0.5593333333333333
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.4616666666666667,0.5517777777777778,0.46255555555555555,0.5296666666666667,0.0,0.0,0.41266666666666657,0.4844444444444445,0.47588888888888886
Sp2s1a1nf2,0.47300000000000003,0.513,0.48744444444444446,0.4822222222222223,0.0,0.41266666666666657,0.0,0.4965555555555556,0.48155555555555557
SU8s1S2a1f8nf1,0.5381111111111111,0.6414444444444445,0.5567777777777778,0.5963333333333334,0.0,0.4844444444444445,0.4965555555555556,0.0,0.49277777777777776
SU4adj2a1A1nf1,0.4691111111111111,0.5711111111111111,0.47611111111111115,0.5593333333333333,0.0,0.47588888888888886,0.48155555555555557,0.49277777777777776,0.0

Sp2adj1a2nf4,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.6361111111111112,0.5013333333333333,0.6066666666666667,0.4616666666666667,0.0,0.43822222222222224,0.5741111111111112,0.46399999999999997
