Sp2adj1a2nf4,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
SU3adj1nf3,0.05713790983874665,0.07612732998319571,0.0,0.08802665140754072,0.0,0.09764820960727427,0.061157154371865585,0.07627889049928865
Sp2s1a1nf2,0.06399739578034927,0.06791279811749878,0.08802665140754072,0.0,0.0,0.07732638857705931,0.06606291427098344,0.07145437981720734
SU3adj1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.06609206074731791,0.07528579293122939,0.09764820960727427,0.07732638857705931,0.0,0.0,0.08181015361535451,0.09955059511451612
SU8s1S2a1f8nf1,0.11031990519159034,0.06572680081731509,0.061157154371865585,0.06606291427098344,0.0,0.08181015361535451,0.0,0.05804383188378492
SU5adj1s1A1F8nf0,0.0803560748508294,0.07434994001508619,0.07627889049928865,0.07145437981720734,0.0,0.09955059511451612,0.05804383188378492,0.0

SU4adj2a1A1nf1,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.059052289028505685,0.08292611615613467,0.08306809641478075,0.06609206074731791,0.0,0.1216668696091661,0.06798774399355617
SU5adj1a2A2nf1,0.059052289028505685,0.0,0.0948173032080871,0.08374387760927383,0.07528579293122939,0.0,0.06678840736254077,0.0625516083222782
SU3adj1nf3,0.08292611615613467,0.0948173032080871,0.0,0.11071490470328188,0.09764820960727427,0.0,0.13564223094160172,0.06907903864593741
Sp2s1a1nf2,0.08306809641478075,0.08374387760927383,0.11071490470328188,0.0,0.07732638857705931,0.0,0.11739818283658965,0.07078126626672475
SU3adj1nf2,0.06609206074731791,0.07528579293122939,0.09764820960727427,0.07732638857705931,0.0,0.0,0.08181015361535451,0.09955059511451612
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.1216668696091661,0.06678840736254077,0.13564223094160172,0.11739818283658965,0.08181015361535451,0.0,0.0,0.0770144286625709
SU5adj1s1A1F8nf0,0.06798774399355617,0.0625516083222782,0.06907903864593741,0.07078126626672475,0.09955059511451612,0.0,0.0770144286625709,0.0

SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.11366514607432995,0.1174647832698889,0.12234841969747355,0.11031990519159034,0.1216668696091661,0.0,0.09103824999945333
SU5adj1a2A2nf1,0.11366514607432995,0.0,0.09136313382443831,0.06677297080128779,0.06572680081731509,0.06678840736254077,0.0,0.048524526062905866
SU3adj1nf3,0.1174647832698889,0.09136313382443831,0.0,0.05141215689448567,0.061157154371865585,0.13564223094160172,0.0,0.047347024623948034
Sp2s1a1nf2,0.12234841969747355,0.06677297080128779,0.05141215689448567,0.0,0.06606291427098344,0.11739818283658965,0.0,0.045440097591618385
